sess,page_end,leg,number,page_start,session_date,pub_date,id
3,42,1,3,1,2013-09-18 00:00:00,2013-09-19 00:00:00,l01s03n003
3,49,1,4,1,2013-10-02 00:00:00,2013-10-03 00:00:00,l01s03n004
3,32,1,5,1,2013-10-03 00:00:00,2013-10-04 00:00:00,l01s03n005
3,36,1,6,1,2013-10-04 00:00:00,2013-10-05 00:00:00,l01s03n006
3,56,1,7,1,2013-10-09 00:00:00,2013-10-10 00:00:00,l01s03n007
3,39,1,8,1,2013-10-10 00:00:00,2013-10-11 00:00:00,l01s03n008
3,47,1,9,1,2013-10-11 00:00:00,2013-10-12 00:00:00,l01s03n009
3,57,1,10,1,2013-10-16 00:00:00,2013-10-17 00:00:00,l01s03n010
3,40,1,11,1,2013-10-17 00:00:00,2013-10-18 00:00:00,l01s03n011
3,36,1,12,1,2013-10-18 00:00:00,2013-10-19 00:00:00,l01s03n012
3,45,1,13,1,2013-10-23 00:00:00,2013-10-24 00:00:00,l01s03n013
3,73,1,14,1,2013-10-24 00:00:00,2013-10-25 00:00:00,l01s03n014
3,66,1,15,1,2013-10-25 00:00:00,2013-10-26 00:00:00,l01s03n015
3,118,1,16,1,2013-10-31 00:00:00,2013-11-01 00:00:00,l01s03n016
3,133,1,17,1,2013-11-01 00:00:00,2013-11-02 00:00:00,l01s03n017
3,59,1,18,1,2013-11-21 00:00:00,2013-11-22 00:00:00,l01s03n018
3,62,1,19,1,2013-11-22 00:00:00,2013-11-23 00:00:00,l01s03n019
3,56,1,20,1,2013-11-25 00:00:00,2013-11-26 00:00:00,l01s03n020
3,72,1,21,1,2013-11-26 00:00:00,2013-11-27 00:00:00,l01s03n021
3,57,1,22,1,2013-11-29 00:00:00,2013-11-30 00:00:00,l01s03n022
3,72,1,23,1,2013-12-04 00:00:00,2013-12-05 00:00:00,l01s03n023
3,51,1,24,1,2013-12-05 00:00:00,2013-12-06 00:00:00,l01s03n024
3,65,1,25,1,2013-12-06 00:00:00,2013-12-07 00:00:00,l01s03n025
3,2,1,26,1,2013-12-09 00:00:00,2013-12-10 00:00:00,l01s03n026
3,56,1,27,1,2013-12-11 00:00:00,2013-12-12 00:00:00,l01s03n027
3,51,1,28,1,2013-12-12 00:00:00,2013-12-13 00:00:00,l01s03n028
3,52,1,29,1,2013-12-13 00:00:00,2013-12-14 00:00:00,l01s03n029
3,26,1,30,1,2013-12-18 00:00:00,2013-12-19 00:00:00,l01s03n030
3,45,1,31,1,2013-12-19 00:00:00,2013-12-20 00:00:00,l01s03n031
3,41,1,32,1,2013-12-20 00:00:00,2013-12-21 00:00:00,l01s03n032
3,58,1,33,1,2014-01-08 00:00:00,2014-01-09 00:00:00,l01s03n033
3,36,1,34,1,2014-01-09 00:00:00,2014-01-10 00:00:00,l01s03n034
3,52,1,35,1,2014-01-10 00:00:00,2014-01-11 00:00:00,l01s03n035
3,62,1,36,1,2014-01-15 00:00:00,2014-01-16 00:00:00,l01s03n036
3,42,1,37,1,2014-01-16 00:00:00,2014-01-17 00:00:00,l01s03n037
3,39,1,38,1,2014-01-17 00:00:00,2014-01-18 00:00:00,l01s03n038
3,41,1,39,1,2014-01-22 00:00:00,2014-01-23 00:00:00,l01s03n039
3,42,1,40,1,2014-01-23 00:00:00,2014-01-24 00:00:00,l01s03n040
3,73,1,41,1,2014-01-24 00:00:00,2014-01-25 00:00:00,l01s03n041
3,52,1,42,1,2014-01-29 00:00:00,2014-01-30 00:00:00,l01s03n042
3,37,1,43,1,2014-01-30 00:00:00,2014-01-31 00:00:00,l01s03n043
3,38,1,44,1,2014-01-31 00:00:00,2014-02-01 00:00:00,l01s03n044
3,55,1,45,1,2014-02-05 00:00:00,2014-02-06 00:00:00,l01s03n045
3,35,1,46,1,2014-02-06 00:00:00,2014-02-07 00:00:00,l01s03n046
3,44,1,47,1,2014-02-07 00:00:00,2014-02-08 00:00:00,l01s03n047
3,45,1,48,1,2014-02-12 00:00:00,2014-02-13 00:00:00,l01s03n048
3,60,1,49,1,2014-02-13 00:00:00,2014-02-14 00:00:00,l01s03n049
3,37,1,50,1,2014-02-14 00:00:00,2014-02-15 00:00:00,l01s03n050
3,44,1,51,1,2014-02-19 00:00:00,2014-02-20 00:00:00,l01s03n051
3,65,1,52,1,2014-02-20 00:00:00,2014-02-21 00:00:00,l01s03n052
3,34,1,53,1,2014-02-26 00:00:00,2014-02-27 00:00:00,l01s03n053
3,51,1,54,1,2014-02-27 00:00:00,2014-02-28 00:00:00,l01s03n054
3,62,1,55,1,2014-02-28 00:00:00,2014-03-01 00:00:00,l01s03n055
3,30,1,56,1,2014-03-05 00:00:00,2014-03-06 00:00:00,l01s03n056
3,44,1,57,1,2014-03-06 00:00:00,2014-03-07 00:00:00,l01s03n057
3,42,1,58,1,2014-03-07 00:00:00,2014-03-08 00:00:00,l01s03n058
3,43,1,59,1,2014-03-12 00:00:00,2014-03-13 00:00:00,l01s03n059
3,42,1,60,1,2014-03-13 00:00:00,2014-03-14 00:00:00,l01s03n060
3,52,1,61,1,2014-03-14 00:00:00,2014-03-15 00:00:00,l01s03n061
3,40,1,62,1,2014-03-19 00:00:00,2014-03-20 00:00:00,l01s03n062
3,35,1,63,1,2014-03-20 00:00:00,2014-03-21 00:00:00,l01s03n063
3,44,1,64,1,2014-03-21 00:00:00,2014-03-22 00:00:00,l01s03n064
3,64,1,65,1,2014-03-26 00:00:00,2014-03-27 00:00:00,l01s03n065
3,31,1,66,1,2014-03-27 00:00:00,2014-03-28 00:00:00,l01s03n066
3,61,1,67,1,2014-03-28 00:00:00,2014-03-29 00:00:00,l01s03n067
3,38,1,68,1,2014-04-02 00:00:00,2014-04-03 00:00:00,l01s03n068
